id,name,magnitude
1,mu. Ara,5.12
2,HD 154088,6.8
3,HD 102365,4.89
4,61 Vir,4.74
5,HD 69830,5.95
6,HD 72673,6.38
7,e Eri,4.26
8,tau Cet,3.49
9,omi02 Eri,4.43
10,HD 192310,5.73
11,* 20 Crt,5.96
12,HD 4628,5.74
13,HD 191408,5.32
14,HD 16160,5.79
15,HD 32147,6.22
16,HD 22496,8.57
17,eps Ind,4.69
18,CD-51 10924,9.58
19,BD-13 2439,9.38
20,HD 42581,8.15
21,HD 225213,8.56
22,BD+10  1857,9.62
23,HD 304636,9.49
24,HD 176029,9.22
25,HD 175224,8.86
26,CD-57 1079,9.11
27,BD+01 2447,9.65
28,BD+18 3421,9.62
29,HD 165222,9.37
30,HD 204961,8.66
31,BD+11 2576,9.05
32,HD 191849,7.97
33,HD 119850,8.46
34,CD-46 11540,9.38
35,BD-11 3759,11.32
36,G 158-50,11.49
37,Wolf 358,11.64
38,Barnard's star,9.54
39,CD-23 14742,10.37
40,G 68-8,11.7
41,Wolf 1539,11.94
42,Wolf 437,11.39
43,BD-15 6290,10.16
44,L 762-51,11.81
45,CD-44 11909,10.94
46,* pi.01 UMa,5.63
47,HD 74576,6.556
48,rho01 Cnc,5.96
49,HD 76151,6.008
50,HD 78366,5.962
51,* sig02 UMa,4.809
52,* 11 LMi,5.402
53,HD 84117,4.914
54,15 LMi,5.086
55,20 LMi,5.378
56,HD 88230,6.55
57,40 Leo,4.792
58,I Car,3.99
59,36 UMa,4.82
60,HD 90089,5.25
61,Y Vel,4.897
62,47 UMa,5.037
63,HD 95735,7.421
64,61 UMa,5.308
65,* bet Vir,3.602
66,HD 103095,6.427
67,alf Crv,4.025
68,eta Crv,4.297
69,bet CVn,4.26
70,* 10 CVn,5.958
71,bet Com,4.23
72,HD 114613,4.847
73,HD 114837,4.913
74,HD 115404,6.55
75,HD 122064,6.488
76,HD 125276,5.872
77,tet Boo,4.052
78,sig Boo,4.465
79,alf Cen B,1.35
80,alf Cen A,0.002
81,ksi Boo,6.979
