Simbad默认名,Vmag
mu Ara,5.12
HD154088,6.8
HD102365,4.89
61 Vir,4.74
HD69830,5.95
HD72673,6.38
e Eri,4.26
tau Cet,3.49
omi02 Eri,4.43
HD192310,5.73
20 Crt,5.96
HD4628,5.74
HD191408,5.32
HD16160,5.79
HD32147,6.22
HD22496,8.57
eps Ind,4.69
CD_51 10924,9.58
BD_13 2439,9.38
HD42581,8.15
HD225213,8.56
BD+10 1857,9.62
HD304636,9.49
HD176029,9.22
HD175224,8.86
CD_57 1079,9.11
BD+01 2447,9.65
BD+18 3421,9.62
HD165222,9.37
HD204961,8.66
BD+11 2576,9.05
HD191849,7.97
HD119850,8.46
CD_46 11540,9.38
BD_11 3759,11.32
G 158_50,11.49
Wolf 358,11.64
Barnard's star,9.54
CD_23 14742,10.37
G 68_8,11.7
Wolf 1539,11.94
Wolf 437,11.39
BD_15 6290,10.16
L 762_51,11.81
CD_44 11909,10.94
pi.01 UMa,5.63
HD74576,6.556
rho01 Cnc,5.96
HD76151,6.008
HD78366,5.962
sig02 UMa,4.809
11 LMi,5.402
HD84117,4.914
15 LMi,5.086
20 LMi,5.378
HD88230,6.55
40 Leo,4.792
I Car,3.99
36 UMa,4.82
HD90089,5.25
Y Vel,4.897
47 UMa,5.037
HD95735,7.421
61 UMa,5.308
bet Vir,3.602
HD103095,6.427
alf Crv,4.025
eta Crv,4.297
bet CVn,4.26
10 CVn,5.958
bet Com,4.23
HD114613,4.847
HD114837,4.913
HD115404,6.55
HD122064,6.488
HD125276,5.872
tet Boo,4.052
sig Boo,4.465
alf Cen B,1.35
alf Cen A,0.002
ksi Boo,6.979
HD131977,5.724
c Boo,4.94
nu.02 Lup,5.655
psi Ser,5.869
lam Ser,4.422
HD 140901,6.012
chi Her,4.608
gam Ser,3.843
rho CrB,5.41
18 Sco,5.496
HD147513,5.37
12 Oph,5.764
36 Oph,5.07
V V2215 Oph,6.295
41 Ara,5.472
w Her,5.385
ksi Oph,4.389
HD158633,6.443
lam Ara,4.762
58 Oph,4.86
70 Oph,4.22
HD165185,5.949
HD166620,6.377
iot Pav,5.469
36 Dra,4.99
b Aql,5.169
sig Dra,4.672
17 Cyg,5.005
omi Aql,5.122
HD190360,5.745
HD189567,6.07
del Pav,3.556
HD193664,5.922
psi Cap,4.137
HD199260,5.709
61 Cyg A,5.211
61 Cyg B,6.043
V AX Mic,6.69
gam Pav,4.229
V HN Peg,5.942
HD 207129,5.575
tau PsA,4.94
HD212330,5.318
ups Aqr,5.21
ksi Peg,4.2
V TW PsA,6.446
HD217987,7.33
HD219134,5.54
HD219623,5.58
HD166,6.093
6 Cet,4.895
tet Scl,5.241
zet Tuc,4.223
bet Hyi,2.82
54 Psc,5.863
HD4391,5.795
eta Cas,3.444
phi02 Cet,5.176
HD5015,4.8
nu. Phe,4.966
kap Tuc,4.912
ups And,4.1
p Eri,5.876
q01 Eri,5.52
107 Psc,5.241
HD10780,5.626
HD14412,6.336
iot Hor,5.395
tet Per,4.1
tau01 Eri,4.465
HD17925,6.038
iot Per,4.05
alf For,3.8
zet01 Ret,5.513
zet02 Ret,5.232
kap01 Cet,4.85
kap Ret,4.703
eps Eri,3.718
10 Tau,4.291
del Eri,3.537
tau06 Eri,4.21
HD25457,5.361
50 Per,5.522
58 Eri,5.489
pi.03 Ori,3.184
zet Dor,4.701
m Tau,4.915
lam Aur ,4.705
HD33564,5.08
111 Tau,5.009
pi. Men,5.666
HD37394,6.2
gam Lep,6.142
HD38858,5.973
alf Men,5.076
71 Ori,5.2
k Ori,5.04
HD46588,5.44
psi05 Aur,5.252
HD50281,6.562
37 Gem,5.763
HD53705,5.56
HD55575,5.559
22 Lyn,5.35
212 Pup,5.085
HD65907,5.592
chi Cnc,5.13
HD219482,5.655
iot Psc,4.132
54 Psc B,
54 Psc b,
55 Psc,5.428
HD9407,
51 Ari,6.62
HD52711,
HD71148,
HD89269,
83 Leo A,6.46
83 Leo B,7.53
HD104304,5.55
HD105631 ,
HD114783,7.55
HD117043,
HD126053,6.27
HD127334,
HD136923,7.123
HD154345,
